"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Msmp"	"4.9375"	"0.543125"
"2"	"Pcp4"	"3.19230769230769"	"0.415"
"3"	"G6pc2"	"2.7125"	"0.135625"
"4"	"Elmod1"	"2.2109375"	"0.176875"
"5"	"Ncam1"	"2.18653846153846"	"1.42125"
"6"	"Wnt16"	"2.15625"	"0.474375"
"7"	"Tmem132c"	"2.0625"	"0.061875"
"8"	"Kcnmb2"	"1.796875"	"0.071875"
"9"	"Nppa"	"1.625"	"0.01625"
"10"	"Ms4a2"	"1.53819444444444"	"0.276875"
"11"	"Flnc"	"1.47222222222222"	"0.1325"
"12"	"Trav9d-1"	"1.4375"	"0.014375"
"13"	"Oscar"	"1.375"	"0.01375"
"14"	"Adgrb2"	"1.3125"	"0.02625"
"15"	"C2cd4a"	"1.3125"	"0.013125"
"16"	"Sstr3"	"1.3125"	"0.013125"
"17"	"Akap12"	"1.27891522988506"	"4.450625"
"18"	"Gnb3"	"1.25"	"0.0125"
"19"	"Map6d1"	"1.25"	"0.0125"
"20"	"Nkain4"	"1.22222222222222"	"0.11"
