"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Cdh5"	"6.11111111111111"	"1.28333333333333"
"2"	"Flt1"	"5.90408055113937"	"2.18450980392157"
"3"	"Cd300lg"	"5.6078431372549"	"0.841176470588235"
"4"	"Sema7a"	"5.28758169934641"	"0.475882352941176"
"5"	"Sox18"	"5.26579520697168"	"0.473921568627451"
"6"	"Ly6c1"	"4.86660724896019"	"6.42392156862745"
"7"	"S1pr1"	"4.75801052128168"	"1.95078431372549"
"8"	"Cytl1"	"4.43137254901961"	"0.0886274509803922"
"9"	"Egfl7"	"4.34997029114676"	"1.43549019607843"
"10"	"Ptprb"	"4.19807244931871"	"2.47686274509804"
"11"	"Adgrl4"	"4.0157631680123"	"2.04803921568627"
"12"	"Ripply3"	"3.97058823529412"	"0.158823529411765"
"13"	"Kdr"	"3.71191553544495"	"1.44764705882353"
"14"	"Ptprr"	"3.60130718954248"	"0.216078431372549"
"15"	"Fbln2"	"3.53104575163399"	"0.423725490196078"
"16"	"Myct1"	"3.46623093681917"	"0.311960784313725"
"17"	"Rasip1"	"3.46206308610401"	"0.796274509803922"
"18"	"Mmrn2"	"3.42303921568627"	"1.36921568627451"
"19"	"Ctla2a"	"3.37721755368814"	"0.70921568627451"
"20"	"Exoc3l2"	"3.28342245989305"	"0.722352941176471"
