"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Aif1"	"9.53333333333333"	"0.953333333333333"
"2"	"Mmp12"	"7.26666666666667"	"0.363333333333333"
"3"	"Lair1"	"7.25641025641026"	"0.943333333333333"
"4"	"Cd209f"	"6.16666666666667"	"0.0616666666666667"
"5"	"C1qa"	"6.03389830508475"	"7.12"
"6"	"Siglech"	"58.7777777777778"	"1.76333333333333"
"7"	"Fcrls"	"49.7666666666667"	"2.48833333333333"
"8"	"Ccl12"	"4.83333333333333"	"0.0483333333333333"
"9"	"Cd68"	"4.54545454545455"	"1"
"10"	"Ccr5"	"4.54166666666667"	"0.363333333333333"
"11"	"Ptafr"	"4.4"	"0.22"
"12"	"Cd180"	"4.11111111111111"	"0.246666666666667"
"13"	"Vsir"	"4.1"	"1.23"
"14"	"Ctss"	"4.06712962962963"	"8.785"
"15"	"Adora3"	"4"	"0.12"
"16"	"Ccl3"	"4"	"0.16"
"17"	"Gpr34"	"34"	"1.02"
"18"	"Selplg"	"3.91460055096419"	"4.73666666666667"
"19"	"Unc93b1"	"3.86805555555556"	"0.928333333333333"
"20"	"Tnfrsf17"	"3.83333333333333"	"0.0383333333333333"
