"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Col14a1"	"9.21005917159763"	"1.19730769230769"
"2"	"Fbln1"	"6.76923076923077"	"0.406153846153846"
"3"	"Abca8a"	"6.37362637362637"	"0.446153846153846"
"4"	"Cxcl14"	"5.7032967032967"	"0.798461538461538"
"5"	"Col3a1"	"5.61538461538462"	"1.68461538461538"
"6"	"Col1a1"	"4.5472334682861"	"2.59192307692308"
"7"	"Hsd11b1"	"3.83262108262108"	"2.06961538461538"
"8"	"Cfh"	"3.497668997669"	"5.77115384615385"
"9"	"C7"	"3.25480769230769"	"0.260384615384615"
"10"	"Dcn"	"3.10576923076923"	"3.72692307692308"
"11"	"Cpxm1"	"2.94871794871795"	"0.176923076923077"
"12"	"Smoc2"	"2.84615384615385"	"0.199230769230769"
"13"	"Itgbl1"	"2.75"	"0.055"
"14"	"Clca3a1"	"2.71153846153846"	"0.162692307692308"
"15"	"Lum"	"2.70192307692308"	"0.108076923076923"
"16"	"Art4"	"2.69230769230769"	"0.296153846153846"
"17"	"Timp1"	"2.54102564102564"	"0.381153846153846"
"18"	"Matn2"	"2.46703296703297"	"0.345384615384615"
"19"	"Itih5"	"2.40521978021978"	"0.673461538461538"
"20"	"Col6a1"	"2.37538461538462"	"1.18769230769231"
