"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Ren1"	"8.0532182668105"	"16.5896296296296"
"2"	"Akr1b7"	"4.81597222222222"	"1.54111111111111"
"3"	"Nkx3-1"	"4.62433862433863"	"0.323703703703704"
"4"	"Hrc"	"4"	"0.12"
"5"	"Kcna5"	"3.91269841269841"	"0.273888888888889"
"6"	"Myh11"	"3.90727321524423"	"5.39203703703704"
"7"	"Cnn1"	"3.53276353276353"	"0.459259259259259"
"8"	"Kcnk3"	"3.38888888888889"	"0.271111111111111"
"9"	"Aoc3"	"3.28189300411523"	"0.590740740740741"
"10"	"Rergl"	"3.23225308641975"	"0.775740740740741"
"11"	"Tcap"	"2.77160493827161"	"0.0831481481481482"
"12"	"Myocd"	"2.74537037037037"	"0.109814814814815"
"13"	"Lmod1"	"2.74074074074074"	"0.685185185185185"
"14"	"Acta2"	"2.68754578754579"	"12.2283333333333"
"15"	"Ldb3"	"2.56878306878307"	"0.179814814814815"
"16"	"Olfr558"	"2.56349206349206"	"0.358888888888889"
"17"	"Gpr20"	"2.53333333333333"	"0.126666666666667"
"18"	"Ppp1r12b"	"2.38981481481481"	"0.477962962962963"
"19"	"Lrrc10b"	"2.33641975308642"	"0.140185185185185"
"20"	"Pln"	"2.30610021786492"	"0.392037037037037"
