"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Cdkn1c"	"7.42342342342342"	"5.49333333333333"
"2"	"Ptpro"	"6.49691358024691"	"1.75416666666667"
"3"	"Ddn"	"6.45833333333333"	"0.516666666666667"
"4"	"Rhpn1"	"5.06666666666667"	"1.01333333333333"
"5"	"Myl7"	"5.05555555555556"	"0.303333333333333"
"6"	"Kcnf1"	"4.34722222222222"	"0.260833333333333"
"7"	"Rarres1"	"3.87121212121212"	"0.425833333333333"
"8"	"Myom2"	"3.825"	"0.3825"
"9"	"Sema3e"	"3.76515151515152"	"0.414166666666667"
"10"	"Magi2"	"3.625"	"0.5075"
"11"	"Wif1"	"3.58333333333333"	"0.250833333333333"
"12"	"Dpp4"	"3.50886524822695"	"1.64916666666667"
"13"	"Chst1"	"3.35416666666667"	"0.536666666666667"
"14"	"Tdrd5"	"3.20238095238095"	"0.224166666666667"
"15"	"Lmx1b"	"3.04861111111111"	"0.365833333333333"
"16"	"Nphs2"	"29.6041666666667"	"10.6575"
"17"	"Srgap1"	"2.66964285714286"	"0.7475"
"18"	"Thsd7a"	"2.43352059925094"	"2.16583333333333"
"19"	"Nell2"	"2.38888888888889"	"0.0716666666666667"
"20"	"Igkv6-32"	"2.25"	"0.0225"
