"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Ass1"	"6.10810810810811"	"4.52"
"2"	"Fbp1"	"5.169002335669"	"3.82506172839506"
"3"	"Gatm"	"5.12962962962963"	"2.56481481481481"
"4"	"Akr1c21"	"4.94079113126732"	"4.84197530864198"
"5"	"Pecr"	"4.89259259259259"	"0.978518518518518"
"6"	"Hgd"	"4.80493827160494"	"0.960987654320988"
"7"	"Miox"	"4.71116082525478"	"7.01962962962963"
"8"	"Acsm2"	"4.01656508829505"	"6.34617283950617"
"9"	"Eci3"	"3.98971193415638"	"0.718148148148148"
"10"	"Ehhadh"	"3.9761316872428"	"1.19283950617284"
"11"	"Ugt3a2"	"3.91473765432099"	"1.25271604938272"
"12"	"Kap"	"3.77522453515965"	"31.0323456790123"
"13"	"Cda"	"3.63374485596708"	"0.872098765432099"
"14"	"Slc34a1"	"3.53184492904119"	"7.55814814814815"
"15"	"Ugt2b38"	"3.44650205761317"	"1.03395061728395"
"16"	"Haao"	"3.37191358024691"	"0.269753086419753"
"17"	"Slc17a3"	"3.3638726445744"	"0.639135802469136"
"18"	"Gpd1"	"3.28703703703704"	"0.788888888888889"
"19"	"Cyp4a10"	"3.25028058361392"	"1.07259259259259"
"20"	"Ttc36"	"3.18783068783069"	"2.23148148148148"
