"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Il2rb"	"9.67857142857143"	"0.387142857142857"
"2"	"Trbc1"	"8.92857142857143"	"0.357142857142857"
"3"	"Lat"	"8.82857142857143"	"0.441428571428571"
"4"	"Cxcr6"	"6.42857142857143"	"0.257142857142857"
"5"	"Tcrg-C1"	"6.35714285714286"	"0.127142857142857"
"6"	"Cd3e"	"6.31428571428571"	"0.315714285714286"
"7"	"Tcrg-C2"	"6.25"	"0.25"
"8"	"Il7r"	"6.11111111111111"	"1.1"
"9"	"Trbc2"	"6.07936507936508"	"0.547142857142857"
"10"	"Tnfrsf18"	"5.38095238095238"	"0.161428571428571"
"11"	"P2ry10"	"4.92857142857143"	"0.0985714285714286"
"12"	"Ctla4"	"4.85714285714286"	"0.242857142857143"
"13"	"Icos"	"4.83673469387755"	"0.338571428571429"
"14"	"Nkg7"	"4.48571428571429"	"0.224285714285714"
"15"	"Klrb1c"	"4.42857142857143"	"0.0885714285714286"
"16"	"Cd96"	"4.28571428571429"	"0.171428571428571"
"17"	"Tcrg-C4"	"4.28571428571429"	"0.0857142857142857"
"18"	"Cd8b1"	"4.21428571428571"	"0.168571428571429"
"19"	"Hcst"	"4.07936507936508"	"0.367142857142857"
"20"	"Ptprcap"	"4.06122448979592"	"0.284285714285714"
